Date,Decimal Date,Average,Interpolated,Trend,Number of Days
1971-09,1971.708,323.36,323.36,326.19,-1
1971-10,1971.792,323.57,323.57,326.58,-1
1971-11,1971.875,324.80,324.80,326.82,-1
1971-12,1971.958,326.01,326.01,327.02,-1
1972-01,1972.042,326.77,326.77,326.85,-1
1972-02,1972.125,327.63,327.63,327.04,-1
1972-03,1972.208,327.75,327.75,326.53,-1
1972-04,1972.292,329.72,329.72,327.42,-1
1972-05,1972.375,330.07,330.07,327.23,-1
1972-06,1972.458,329.09,329.09,326.92,-1
1972-07,1972.542,328.05,328.05,327.20,-1
1972-08,1972.625,326.32,326.32,327.37,-1
1972-09,1972.708,324.93,324.93,327.76,-1
1972-10,1972.792,325.06,325.06,328.06,-1
1972-11,1972.875,326.50,326.50,328.50,-1
1972-12,1972.958,327.55,327.55,328.55,-1
1973-01,1973.042,328.54,328.54,328.58,-1
1973-02,1973.125,329.56,329.56,328.86,-1
1973-03,1973.208,330.30,330.30,328.99,-1
1973-04,1973.292,331.50,331.50,329.14,-1
1973-05,1973.375,332.48,332.48,329.62,-1
1973-06,1973.458,332.07,332.07,329.94,-1
1973-07,1973.542,330.87,330.87,330.05,-1
1973-08,1973.625,329.31,329.31,330.42,-1
1973-09,1973.708,327.51,327.51,330.45,-1
1973-10,1973.792,327.18,327.18,330.23,-1
1973-11,1973.875,328.16,328.16,330.16,-1
1973-12,1973.958,328.64,328.64,329.66,-1
1974-01,1974.042,329.35,329.35,329.45,-1
1974-02,1974.125,330.71,330.71,330.12,-1
1974-03,1974.208,331.48,331.48,330.20,-1
1974-04,1974.292,332.65,332.65,330.26,-1
1974-05,1974.375,333.20,333.20,330.27,14
1974-06,1974.458,332.16,332.16,329.94,26
1974-07,1974.542,331.07,331.07,330.23,24
1974-08,1974.625,329.12,329.12,330.26,27
1974-09,1974.708,327.32,327.32,330.28,24
1974-10,1974.792,327.28,327.28,330.36,24
1974-11,1974.875,328.30,328.30,330.28,27
1974-12,1974.958,329.58,329.58,330.55,28
1975-01,1975.042,330.73,330.73,330.89,29
1975-02,1975.125,331.46,331.46,330.93,26
1975-03,1975.208,331.90,331.90,330.54,18
1975-04,1975.292,333.17,333.17,330.67,25
1975-05,1975.375,333.94,333.94,330.98,28
1975-06,1975.458,333.45,333.45,331.20,26
1975-07,1975.542,331.98,331.98,331.12,24
1975-08,1975.625,329.95,329.95,331.11,24
1975-09,1975.708,328.50,328.50,331.48,23
1975-10,1975.792,328.35,328.35,331.46,12
1975-11,1975.875,329.37,329.37,331.41,19
1975-12,1975.958,-99.99,330.59,331.60,0
1976-01,1976.042,331.59,331.59,331.79,20
1976-02,1976.125,332.75,332.75,332.20,22
1976-03,1976.208,333.52,333.52,332.05,20
1976-04,1976.292,334.64,334.64,332.13,19
1976-05,1976.375,334.77,334.77,331.84,22
1976-06,1976.458,334.00,334.00,331.65,17
1976-07,1976.542,333.06,333.06,332.14,16
1976-08,1976.625,330.68,330.68,331.88,23
1976-09,1976.708,328.95,328.95,331.94,13
1976-10,1976.792,328.75,328.75,331.92,20
1976-11,1976.875,330.15,330.15,332.29,25
1976-12,1976.958,331.62,331.62,332.66,20
1977-01,1977.042,332.66,332.66,332.76,24
1977-02,1977.125,333.13,333.13,332.51,19
1977-03,1977.208,334.95,334.95,333.35,23
1977-04,1977.292,336.13,336.13,333.51,21
1977-05,1977.375,336.93,336.93,333.98,20
1977-06,1977.458,336.17,336.17,333.80,22
1977-07,1977.542,334.88,334.88,334.02,21
1977-08,1977.625,332.56,332.56,333.91,18
1977-09,1977.708,331.29,331.29,334.36,19
1977-10,1977.792,331.27,331.27,334.52,23
1977-11,1977.875,332.41,332.41,334.64,21
1977-12,1977.958,333.60,333.60,334.61,26
1978-01,1978.042,334.95,334.95,335.01,22
1978-02,1978.125,335.25,335.25,334.58,25
1978-03,1978.208,336.66,336.66,335.00,28
1978-04,1978.292,337.69,337.69,335.06,18
1978-05,1978.375,338.03,338.03,335.06,26
1978-06,1978.458,338.01,338.01,335.59,17
1978-07,1978.542,336.41,336.41,335.57,22
1978-08,1978.625,334.41,334.41,335.87,19
1978-09,1978.708,332.37,332.37,335.51,17
1978-10,1978.792,332.41,332.41,335.68,23
1978-11,1978.875,333.75,333.75,335.99,24
1978-12,1978.958,334.90,334.90,335.88,27
1979-01,1979.042,336.14,336.14,336.22,27
1979-02,1979.125,336.69,336.69,336.01,26
1979-03,1979.208,338.27,338.27,336.54,21
1979-04,1979.292,338.95,338.95,336.24,21
1979-05,1979.375,339.21,339.21,336.21,12
1979-06,1979.458,339.26,339.26,336.84,19
1979-07,1979.542,337.54,337.54,336.72,26
1979-08,1979.625,335.75,335.75,337.24,23
1979-09,1979.708,333.98,333.98,337.20,19
1979-10,1979.792,334.19,334.19,337.53,24
1979-11,1979.875,335.31,335.31,337.57,27
1979-12,1979.958,336.81,336.81,337.79,22
1980-01,1980.042,337.90,337.90,338.09,29
1980-02,1980.125,338.34,338.34,337.82,26
1980-03,1980.208,340.01,340.01,338.43,25
1980-04,1980.292,340.93,340.93,338.30,24
1980-05,1980.375,341.48,341.48,338.43,25
1980-06,1980.458,341.33,341.33,338.84,22
1980-07,1980.542,339.40,339.40,338.54,21
1980-08,1980.625,337.70,337.70,339.12,17
1980-09,1980.708,336.19,336.19,339.33,17
1980-10,1980.792,336.15,336.15,339.42,25
1980-11,1980.875,337.27,337.27,339.42,24
1980-12,1980.958,338.32,338.32,339.26,19
1981-01,1981.042,339.29,339.29,339.38,28
1981-02,1981.125,340.55,340.55,339.93,25
1981-03,1981.208,341.61,341.61,340.06,25
1981-04,1981.292,342.53,342.53,339.94,24
1981-05,1981.375,343.03,343.03,339.98,30
1981-06,1981.458,342.54,342.54,340.07,25
1981-07,1981.542,340.78,340.78,339.92,24
1981-08,1981.625,338.44,338.44,339.86,26
1981-09,1981.708,336.95,336.95,340.17,27
1981-10,1981.792,337.08,337.08,340.43,28
1981-11,1981.875,338.58,338.58,340.74,25
1981-12,1981.958,339.88,339.88,340.79,19
1982-01,1982.042,340.96,340.96,341.10,27
1982-02,1982.125,341.73,341.73,341.10,23
1982-03,1982.208,342.81,342.81,341.21,18
1982-04,1982.292,343.97,343.97,341.37,8
1982-05,1982.375,344.63,344.63,341.56,26
1982-06,1982.458,343.79,343.79,341.35,26
1982-07,1982.542,342.32,342.32,341.55,28
1982-08,1982.625,340.09,340.09,341.51,24
1982-09,1982.708,338.28,338.28,341.47,21
1982-10,1982.792,338.29,338.29,341.65,26
1982-11,1982.875,339.60,339.60,341.73,25
1982-12,1982.958,340.90,340.90,341.79,26
1983-01,1983.042,341.68,341.68,341.84,28
1983-02,1983.125,342.90,342.90,342.32,24
1983-03,1983.208,343.33,343.33,341.82,26
1983-04,1983.292,345.25,345.25,342.66,24
1983-05,1983.375,346.03,346.03,342.87,28
1983-06,1983.458,345.63,345.63,343.15,20
1983-07,1983.542,344.19,344.19,343.44,20
1983-08,1983.625,342.27,342.27,343.66,16
1983-09,1983.708,340.35,340.35,343.49,15
1983-10,1983.792,340.38,340.38,343.72,20
1983-11,1983.875,341.59,341.59,343.71,26
1983-12,1983.958,343.05,343.05,343.96,19
1984-01,1984.042,344.10,344.10,344.20,23
1984-02,1984.125,344.79,344.79,344.22,23
1984-03,1984.208,345.52,345.52,344.09,19
1984-04,1984.292,-99.99,346.84,344.27,2
1984-05,1984.375,347.63,347.63,344.45,21
1984-06,1984.458,346.97,346.97,344.51,21
1984-07,1984.542,345.53,345.53,344.76,21
1984-08,1984.625,343.55,343.55,344.94,12
1984-09,1984.708,341.40,341.40,344.58,14
1984-10,1984.792,341.67,341.67,345.01,12
1984-11,1984.875,343.10,343.10,345.20,18
1984-12,1984.958,344.70,344.70,345.57,12
1985-01,1985.042,345.21,345.21,345.31,23
1985-02,1985.125,346.16,346.16,345.61,17
1985-03,1985.208,347.74,347.74,346.37,16
1985-04,1985.292,348.34,348.34,345.79,19
1985-05,1985.375,349.06,349.06,345.91,24
1985-06,1985.458,348.38,348.38,345.94,23
1985-07,1985.542,346.71,346.71,345.89,18
1985-08,1985.625,345.02,345.02,346.34,18
1985-09,1985.708,343.27,343.27,346.40,25
1985-10,1985.792,343.13,343.13,346.42,20
1985-11,1985.875,344.49,344.49,346.61,22
1985-12,1985.958,345.88,345.88,346.81,25
1986-01,1986.042,346.56,346.56,346.59,23
1986-02,1986.125,347.28,347.28,346.74,25
1986-03,1986.208,348.01,348.01,346.68,17
1986-04,1986.292,349.77,349.77,347.22,22
1986-05,1986.375,350.38,350.38,347.26,18
1986-06,1986.458,349.93,349.93,347.52,17
1986-07,1986.542,348.16,348.16,347.33,20
1986-08,1986.625,346.08,346.08,347.41,18
1986-09,1986.708,345.22,345.22,348.35,17
1986-10,1986.792,344.51,344.51,347.77,26
1986-11,1986.875,345.93,345.93,348.04,23
1986-12,1986.958,347.22,347.22,348.13,24
1987-01,1987.042,348.52,348.52,348.47,26
1987-02,1987.125,348.73,348.73,348.02,25
1987-03,1987.208,349.73,349.73,348.30,22
1987-04,1987.292,351.31,351.31,348.77,26
1987-05,1987.375,352.09,352.09,349.01,27
1987-06,1987.458,351.53,351.53,349.20,21
1987-07,1987.542,350.11,350.11,349.39,16
1987-08,1987.625,348.08,348.08,349.50,14
1987-09,1987.708,346.52,346.52,349.70,23
1987-10,1987.792,346.59,346.59,349.86,22
1987-11,1987.875,347.96,347.96,350.07,22
1987-12,1987.958,349.16,349.16,350.05,27
1988-01,1988.042,350.39,350.39,350.38,24
1988-02,1988.125,351.64,351.64,350.94,24
1988-03,1988.208,352.41,352.41,350.87,25
1988-04,1988.292,353.69,353.69,351.01,27
1988-05,1988.375,354.21,354.21,351.06,28
1988-06,1988.458,353.72,353.72,351.37,26
1988-07,1988.542,352.69,352.69,352.02,27
1988-08,1988.625,350.40,350.40,351.90,26
1988-09,1988.708,348.92,348.92,352.13,27
1988-10,1988.792,349.13,349.13,352.41,26
1988-11,1988.875,350.20,350.20,352.34,25
1988-12,1988.958,351.41,351.41,352.35,28
1989-01,1989.042,352.91,352.91,352.85,27
1989-02,1989.125,353.27,353.27,352.54,25
1989-03,1989.208,353.96,353.96,352.47,29
1989-04,1989.292,355.64,355.64,352.97,28
1989-05,1989.375,355.86,355.86,352.67,28
1989-06,1989.458,355.37,355.37,352.97,26
1989-07,1989.542,353.99,353.99,353.30,25
1989-08,1989.625,351.81,351.81,353.37,24
1989-09,1989.708,350.05,350.05,353.32,23
1989-10,1989.792,350.25,350.25,353.52,25
1989-11,1989.875,351.49,351.49,353.65,27
1989-12,1989.958,352.85,352.85,353.80,27
1990-01,1990.042,353.80,353.80,353.75,25
1990-02,1990.125,355.04,355.04,354.33,28
1990-03,1990.208,355.73,355.73,354.24,28
1990-04,1990.292,356.32,356.32,353.68,28
1990-05,1990.375,357.32,357.32,354.16,29
1990-06,1990.458,356.34,356.34,353.97,29
1990-07,1990.542,354.84,354.84,354.19,30
1990-08,1990.625,353.01,353.01,354.61,22
1990-09,1990.708,351.31,351.31,354.61,27
1990-10,1990.792,351.62,351.62,354.89,28
1990-11,1990.875,353.07,353.07,355.13,24
1990-12,1990.958,354.33,354.33,355.19,28
1991-01,1991.042,354.84,354.84,354.82,28
1991-02,1991.125,355.73,355.73,355.02,27
1991-03,1991.208,357.23,357.23,355.67,30
1991-04,1991.292,358.66,358.66,356.02,30
1991-05,1991.375,359.13,359.13,356.00,29
1991-06,1991.458,358.13,358.13,355.80,29
1991-07,1991.542,356.19,356.19,355.59,24
1991-08,1991.625,353.85,353.85,355.46,25
1991-09,1991.708,352.25,352.25,355.56,27
1991-10,1991.792,352.35,352.35,355.61,27
1991-11,1991.875,353.81,353.81,355.80,28
1991-12,1991.958,355.12,355.12,355.93,30
1992-01,1992.042,356.25,356.25,356.20,31
1992-02,1992.125,357.11,357.11,356.38,27
1992-03,1992.208,357.86,357.86,356.27,24
1992-04,1992.292,359.09,359.09,356.39,27
1992-05,1992.375,359.59,359.59,356.41,26
1992-06,1992.458,359.33,359.33,356.97,30
1992-07,1992.542,357.01,357.01,356.44,26
1992-08,1992.625,354.94,354.94,356.62,23
1992-09,1992.708,352.96,352.96,356.29,26
1992-10,1992.792,353.32,353.32,356.63,29
1992-11,1992.875,354.32,354.32,356.38,29
1992-12,1992.958,355.57,355.57,356.39,31
1993-01,1993.042,357.00,357.00,356.96,28
1993-02,1993.125,357.31,357.31,356.44,28
1993-03,1993.208,358.47,358.47,356.76,30
1993-04,1993.292,359.27,359.27,356.59,25
1993-05,1993.375,360.19,360.19,357.03,30
1993-06,1993.458,359.52,359.52,357.12,28
1993-07,1993.542,357.33,357.33,356.76,25
1993-08,1993.625,355.64,355.64,357.32,27
1993-09,1993.708,354.03,354.03,357.39,23
1993-10,1993.792,354.12,354.12,357.49,28
1993-11,1993.875,355.41,355.41,357.54,29
1993-12,1993.958,356.91,356.91,357.80,30
1994-01,1994.042,358.24,358.24,358.13,27
1994-02,1994.125,358.92,358.92,358.09,25
1994-03,1994.208,359.99,359.99,358.29,29
1994-04,1994.292,361.23,361.23,358.46,28
1994-05,1994.375,361.65,361.65,358.46,30
1994-06,1994.458,360.81,360.81,358.44,27
1994-07,1994.542,359.38,359.38,358.79,31
1994-08,1994.625,357.46,357.46,359.16,24
1994-09,1994.708,355.73,355.73,359.17,24
1994-10,1994.792,356.07,356.07,359.49,28
1994-11,1994.875,357.53,357.53,359.68,28
1994-12,1994.958,358.98,358.98,359.83,28
1995-01,1995.042,359.92,359.92,359.79,30
1995-02,1995.125,360.86,360.86,360.05,28
1995-03,1995.208,361.83,361.83,360.22,29
1995-04,1995.292,363.30,363.30,360.62,29
1995-05,1995.375,363.69,363.69,360.58,29
1995-06,1995.458,363.19,363.19,360.84,27
1995-07,1995.542,361.64,361.64,360.97,28
1995-08,1995.625,359.12,359.12,360.73,25
1995-09,1995.708,358.17,358.17,361.55,24
1995-10,1995.792,357.99,357.99,361.37,29
1995-11,1995.875,359.45,359.45,361.59,27
1995-12,1995.958,360.68,360.68,361.53,30
1996-01,1996.042,362.07,362.07,361.85,29
1996-02,1996.125,363.24,363.24,362.35,27
1996-03,1996.208,364.17,364.17,362.53,27
1996-04,1996.292,364.57,364.57,361.86,29
1996-05,1996.375,365.13,365.13,362.10,30
1996-06,1996.458,364.92,364.92,362.69,30
1996-07,1996.542,363.55,363.55,362.85,31
1996-08,1996.625,361.38,361.38,362.98,28
1996-09,1996.708,359.54,359.54,362.99,25
1996-10,1996.792,359.58,359.58,362.97,29
1996-11,1996.875,360.89,360.89,363.03,29
1996-12,1996.958,362.24,362.24,363.08,29
1997-01,1997.042,363.09,363.09,362.88,31
1997-02,1997.125,364.03,364.03,363.22,27
1997-03,1997.208,364.51,364.51,362.88,31
1997-04,1997.292,366.35,366.35,363.68,21
1997-05,1997.375,366.64,366.64,363.74,29
1997-06,1997.458,365.59,365.59,363.41,27
1997-07,1997.542,364.31,364.31,363.60,24
1997-08,1997.625,362.25,362.25,363.84,25
1997-09,1997.708,360.29,360.29,363.68,26
1997-10,1997.792,360.82,360.82,364.12,27
1997-11,1997.875,362.49,362.49,364.56,30
1997-12,1997.958,364.38,364.38,365.15,30
1998-01,1998.042,365.26,365.26,365.07,30
1998-02,1998.125,365.98,365.98,365.17,28
1998-03,1998.208,367.24,367.24,365.60,31
1998-04,1998.292,368.66,368.66,366.03,29
1998-05,1998.375,369.42,369.42,366.55,30
1998-06,1998.458,368.99,368.99,366.80,28
1998-07,1998.542,367.82,367.82,367.14,23
1998-08,1998.625,365.95,365.95,367.55,30
1998-09,1998.708,364.02,364.02,367.37,28
1998-10,1998.792,364.40,364.40,367.67,30
1998-11,1998.875,365.52,365.52,367.56,23
1998-12,1998.958,367.13,367.13,367.88,26
1999-01,1999.042,368.18,368.18,367.96,27
1999-02,1999.125,369.07,369.07,368.26,22
1999-03,1999.208,369.68,369.68,368.08,25
1999-04,1999.292,370.99,370.99,368.45,29
1999-05,1999.375,370.96,370.96,368.15,26
1999-06,1999.458,370.30,370.30,368.13,26
1999-07,1999.542,369.45,369.45,368.77,27
1999-08,1999.625,366.90,366.90,368.48,25
1999-09,1999.708,364.81,364.81,368.13,28
1999-10,1999.792,365.37,365.37,368.64,31
1999-11,1999.875,366.72,366.72,368.71,28
1999-12,1999.958,368.10,368.10,368.77,26
2000-01,2000.042,369.29,369.29,369.08,26
2000-02,2000.125,369.54,369.54,368.83,19
2000-03,2000.208,370.60,370.60,369.09,30
2000-04,2000.292,371.81,371.81,369.28,27
2000-05,2000.375,371.58,371.58,368.71,28
2000-06,2000.458,371.70,371.70,369.50,28
2000-07,2000.542,369.86,369.86,369.20,25
2000-08,2000.625,368.13,368.13,369.72,27
2000-09,2000.708,367.00,367.00,370.30,26
2000-10,2000.792,367.03,367.03,370.26,30
2000-11,2000.875,368.37,368.37,370.32,25
2000-12,2000.958,369.67,369.67,370.30,30
2001-01,2001.042,370.59,370.59,370.43,30
2001-02,2001.125,371.51,371.51,370.78,26
2001-03,2001.208,372.43,372.43,370.87,26
2001-04,2001.292,373.37,373.37,370.81,29
2001-05,2001.375,373.85,373.85,370.94,24
2001-06,2001.458,373.21,373.21,370.99,26
2001-07,2001.542,371.51,371.51,370.90,25
2001-08,2001.625,369.61,369.61,371.22,27
2001-09,2001.708,368.18,368.18,371.44,28
2001-10,2001.792,368.45,368.45,371.69,31
2001-11,2001.875,369.76,369.76,371.74,24
2001-12,2001.958,371.24,371.24,371.92,29
2002-01,2002.042,372.53,372.53,372.30,28
2002-02,2002.125,373.20,373.20,372.33,28
2002-03,2002.208,374.12,374.12,372.44,24
2002-04,2002.292,375.02,375.02,372.37,29
2002-05,2002.375,375.76,375.76,372.81,29
2002-06,2002.458,375.52,375.52,373.30,28
2002-07,2002.542,374.01,374.01,373.42,26
2002-08,2002.625,371.85,371.85,373.52,28
2002-09,2002.708,370.75,370.75,374.11,23
2002-10,2002.792,370.55,370.55,373.88,31
2002-11,2002.875,372.25,372.25,374.34,29
2002-12,2002.958,373.79,373.79,374.53,31
2003-01,2003.042,374.88,374.88,374.63,30
2003-02,2003.125,375.64,375.64,374.77,27
2003-03,2003.208,376.45,376.45,374.80,28
2003-04,2003.292,377.73,377.73,375.06,27
2003-05,2003.375,378.60,378.60,375.55,30
2003-06,2003.458,378.28,378.28,376.03,25
2003-07,2003.542,376.70,376.70,376.19,29
2003-08,2003.625,374.38,374.38,376.08,23
2003-09,2003.708,373.17,373.17,376.48,25
2003-10,2003.792,373.14,373.14,376.47,30
2003-11,2003.875,374.66,374.66,376.81,26
2003-12,2003.958,375.99,375.99,376.75,27
2004-01,2004.042,377.00,377.00,376.78,30
2004-02,2004.125,377.87,377.87,377.02,29
2004-03,2004.208,378.88,378.88,377.23,28
2004-04,2004.292,380.35,380.35,377.62,26
2004-05,2004.375,380.62,380.62,377.48,28
2004-06,2004.458,379.69,379.69,377.39,21
2004-07,2004.542,377.47,377.47,376.94,25
2004-08,2004.625,376.01,376.01,377.74,16
2004-09,2004.708,374.25,374.25,377.62,15
2004-10,2004.792,374.46,374.46,377.82,29
2004-11,2004.875,376.16,376.16,378.31,29
2004-12,2004.958,377.51,377.51,378.31,30
2005-01,2005.042,378.46,378.46,378.21,31
2005-02,2005.125,379.73,379.73,378.93,24
2005-03,2005.208,380.77,380.77,379.27,26
2005-04,2005.292,382.29,382.29,379.65,26
2005-05,2005.375,382.45,382.45,379.31,31
2005-06,2005.458,382.21,382.21,379.88,28
2005-07,2005.542,380.74,380.74,380.18,29
2005-08,2005.625,378.74,378.74,380.42,26
2005-09,2005.708,376.70,376.70,380.01,26
2005-10,2005.792,377.00,377.00,380.30,14
